facility_name,total_providers,avg_years_experience,total_service_charge,total_insurance_paid
Cardiology Specialty Center,297,19.32,276658.83,222139.04
City General Hospital,312,19.56,295508.13,236798.5
Community Health Clinic,328,20.16,334992.21,269207.92
Emergency Medical Center,299,19.67,310735.25,248439.2
Northside Urgent Care,305,20.14,297283.06,236839.71
Oncology Treatment Center,324,19.38,334927.3,267183.95
Pediatric Care Center,326,19.81,361811.04,291790.95
Primary Care Clinic,316,20.1,323315.71,260297.44
Regional Medical Center,309,20.21,316284.98,251750.43
Surgical Specialty Center,340,20.78,349909.18,278503.38
